country_code,date,cpi,exports_usd,fx,imports_usd,money_market_rate,mprice_ix,policy_rate,reserves_exgold_usd,reserves_total_usd,shock_ix,shock_rw_ix,xprice_ix,log_shock,d_shock_1m,d_shock_12m,shock_pos,shock_neg,log_shock_rw,d_shock_rw_1m,d_shock_rw_12m,shock_rw_pos,shock_rw_neg,bust,log_cpi,infl_yoy,infl_mom,log_fx,d_log_fx_1m,d_log_fx_12m,fx_vol_12m,state_peg,log_exports_usd,d_log_exports_usd_12m,log_imports_usd,d_log_imports_usd_12m,log_reserves,d_log_reserves_12m,d_log_reserves_1m,log_reserves_total,d_policy_rate_12m,d_policy_rate_1m,d_mm_rate_12m,rate_level,d_rate_12m,d_rate_1m,monthly_imports_approx,reserves_months,low_buffer
AGO,1990-01-01,,287027242.3575501,2.9918e-08,128045349.3714979,,99.1501007080078,,,,64.8695755004883,53.3174057006836,64.3181762695313,4.172378723354136,,,,,3.9762628388508,,,,,,,,,-17.32480553099414,,,,,19.47508769032562,,18.66789505110214,,,,,,,,,,,,10670445.780958159,,
AGO,1990-02-01,,396650057.9009129,2.9918e-08,127028918.2938883,,99.1382217407227,,,,63.8641357421875,52.8825988769531,63.3136978149414,4.156757947829582,-0.015620775524554098,,,,3.9680743410255053,-0.00818849782529485,,,,,,,,-17.32480553099414,0.0,,,,19.798564983687097,,18.659925321603932,,,,,,,,,,,,10585743.191157358,,
AGO,1990-03-01,,299608821.2214621,2.9918e-08,162245322.3181173,,99.1408920288086,,,,62.2511367797852,52.1772117614746,61.7162590026856,4.131176796700731,-0.02558115112885062,,,,3.954645843276562,-0.013428497748943169,,,,,,,,-17.32480553099414,0.0,,,,19.517988252503205,,18.904620083044232,,,,,,,,,,,,13520443.526509775,,
AGO,1990-04-01,,184081057.0459591,2.9918e-08,137853614.6000166,,99.1140899658203,,,,60.0986709594727,51.2284774780273,59.5661811828613,4.095987727477558,-0.035189069223172886,,,,3.9362955781658813,-0.01835026511068083,,,,,,,,-17.32480553099414,0.0,,,,19.030886745993232,,18.741702916345417,,,,,,,,,,,,11487801.216668049,,
AGO,1990-05-01,,200173805.5143956,2.9918e-08,152147457.1570451,,99.1029052734375,,,,60.0705680847168,51.210376739502,59.5316047668457,4.095520005862746,-0.0004677216148119001,,,,3.93594218220393,-0.000353395961951275,,,,,,,,-17.32480553099414,0.0,,,,19.114696574698453,,18.84036072143046,,,,,,,,,,,,12678954.763087092,,
AGO,1990-06-01,,280641382.8903782,2.9918e-08,133464074.9803314,,99.0177307128906,,,,58.154972076416,50.3505859375,57.583667755127,4.063111379632964,-0.03240862622978202,,,,3.9190102563858358,-0.016931925818094218,,,,,,,,-17.32480553099414,0.0,,,,19.452588194767003,,18.70934289831941,,,,,,,,,,,,11122006.24836095,,
AGO,1990-07-01,,233044096.9883045,2.9918e-08,125886380.3875577,,99.0127563476563,,,,60.6832122802734,51.4725761413574,60.0840606689453,4.105667091119265,0.04255571148630111,,,,3.941049163730525,0.022038907344689385,,,,,,,,-17.32480553099414,0.0,,,,19.266738251083574,,18.6508903151451,,,,,,,,,,,,10490531.698963141,,
AGO,1990-08-01,,238912225.730448,2.9918e-08,134597453.0397834,,99.1450729370117,,,,70.7824401855469,55.7696304321289,70.1772308349609,4.259610949959482,0.15394385884021666,,,,4.021229463736668,0.08018030000614251,,,,,,,,-17.32480553099414,0.0,,,,19.291606786082696,,18.71779905255741,,,,,,,,,,,,11216454.419981949,,
AGO,1990-09-01,,325558063.8314336,2.9918e-08,118367920.6920094,,99.2159957885742,,,,76.4835815429688,58.0675315856934,75.8838653564453,4.337076097444897,0.07746514748541511,,,,4.061606670915365,0.04037720717869764,,,,,,,,-17.32480553099414,0.0,,,,19.60105138721116,,18.589308303602007,,,,,,,,,,,,9863993.391000783,,
AGO,1990-10-01,,523791746.4426498,2.9918e-08,172985416.9461584,,99.2029342651367,,,,77.9038314819336,58.6370658874512,77.2828063964844,4.355475136287636,0.018399038842738413,,,,4.071367020300823,0.009760349385457445,,,,,,,,-17.32480553099414,0.0,,,,20.076604732835943,,18.96871785380011,,,,,,,,,,,,14415451.412179867,,
AGO,1990-11-01,,420700961.2523829,2.9918e-08,150515158.9752268,,99.1432876586914,,,,74.8880844116211,57.4558029174805,74.2464294433594,4.315994791240333,-0.03948034504730291,,,,4.051016007330958,-0.020351012969864968,,,,,,,,-17.32480553099414,0.0,,0.0,,19.857432833446143,,18.82957436116876,,,,,,,,,,,,12542929.914602233,,
AGO,1990-12-01,,372460586.7981872,2.9918e-08,201670445.8290237,,99.0644760131836,,,,70.1879119873047,55.5500907897949,69.5312118530273,4.251176102291653,-0.06481868894867926,,,,4.017285150464049,-0.033730856866908354,,,,,,,,-17.32480553099414,0.0,,0.0,,19.735641782932717,,19.122145466799473,,,,,,,,,,,,16805870.485751975,,
AGO,1991-01-01,,283065765.4680694,2.9918e-08,132419389.2803697,,99.018798828125,,,,66.8097305297852,54.0122985839844,66.1541213989258,4.2018487365478,-0.04932736574385377,0.029470013193663824,0.029470013193663824,0.0,3.9892117721880926,-0.028073378275956795,0.012948933337292523,0.012948933337292523,0.0,0.0,,,,-17.32480553099414,0.0,0.0,0.0,,19.461189815422845,-0.013897874902774277,18.701484635460986,0.033589584358846736,,,,,,,,,,,11034949.106697476,,
AGO,1991-02-01,,252868050.838489,2.9918e-08,129218977.2084972,,98.9423828125,,,,61.3893089294434,51.4666709899902,60.7399787902832,4.117235698321856,-0.08461303822594335,-0.03952224950772543,0.0,-0.03952224950772543,3.940934432924963,-0.048277339263129715,-0.027139908100542343,0.0,-0.027139908100542343,0.0,,,,-17.32480553099414,0.0,0.0,0.0,,19.34837837245566,-0.45018661123143744,18.67701902094532,0.01709369934138749,,,,,,,,,,,10768248.1007081,,
AGO,1991-03-01,,177928267.457179,5.9836e-08,121342594.5205547,,98.9329833984375,,,,61.2694053649902,51.4162635803223,60.6155891418457,4.115280621532809,-0.001955076789047716,-0.01589617516792252,0.0,-0.01589617516792252,3.939954534481905,-0.0009798984430577917,-0.014691308794656965,0.0,-0.014691308794656965,0.0,,,,-16.631658350434197,0.6931471805599436,0.6931471805599436,0.2000943556421568,,18.996891035219736,-0.5210972172834687,18.614128462486146,-0.2904916205580861,,,,,,,,,,,10111882.876712892,,
AGO,1991-04-01,,273249421.1915122,5.9836e-08,122681075.8674009,,98.8894577026367,,,,61.6777496337891,51.6147079467773,60.9927368164063,4.121923244053004,0.006642622520195651,0.025935516575446016,0.025935516575446016,0.0,3.9438066696002236,0.0038521351183185004,0.007511091434342365,0.007511091434342365,0.0,0.0,,,,-16.631658350434197,0.0,0.6931471805599436,0.2000943556421568,,19.425895566780845,0.3950088207876128,18.625098666876802,-0.11660424946861525,,,,,,,,,,,10223422.988950076,,
AGO,1991-05-01,,286116736.5023715,5.9836e-08,118617369.6571438,,98.8430557250977,,,,61.9929122924805,51.7699012756348,61.2756233215332,4.127020060647089,0.005096816594084785,0.0315000547843427,0.0315000547843427,0.0,3.946808923931787,0.0030022543315633143,0.010866741727856954,0.010866741727856954,0.0,0.0,,,,-16.631658350434197,0.0,0.6931471805599436,0.2000943556421568,,19.471910455094292,0.35721388039583957,18.59141348959809,-0.24894723183237133,,,,,,,,,,,9884780.804761983,,
AGO,1991-06-01,,233743489.0890603,5.9836e-08,151012330.0940902,,98.8294448852539,,,,60.8542137145996,51.2289047241211,60.1418228149414,4.108481064605461,-0.01853899604162823,0.04536968497249649,0.04536968497249649,0.0,3.9363039181426522,-0.010505005789134714,0.01729366175681646,0.01729366175681646,0.0,0.0,,,,-16.631658350434197,0.0,0.6931471805599436,0.2000943556421568,,19.269734871580688,-0.18285332318631475,18.832872047697762,0.1235291493783528,,,,,,,,,,,12584360.841174183,,
AGO,1991-07-01,,222557062.093331,6e-08,127454609.3734107,,98.8610305786133,,,,62.1172599792481,51.8316459655762,61.4097023010254,4.129023888795896,0.02054282419043485,0.023356797676630237,0.023356797676630237,0.0,3.948000888702508,0.011696970559855746,0.00695172497198282,0.00695172497198282,0.0,0.0,,,,-16.62892127472431,0.002737075709887904,0.6958842562698315,0.2000240737006778,,19.22069408553705,-0.046044165546522464,18.663270854263537,0.012380539118435507,,,,,,,,,,,10621217.447784225,,
AGO,1991-08-01,,279579976.6408804,6e-08,139224475.2578263,,98.8725433349609,,,,62.4733238220215,51.996467590332,61.7689056396484,4.134739646781608,0.005715757985712777,-0.12487130317787365,0.0,-0.12487130317787365,3.9511757853188616,0.0031748966163536174,-0.07005367841780608,0.0,-0.07005367841780608,0.0,,,,-16.62892127472431,0.0,0.6958842562698315,0.2000240737006778,,19.4487989514565,0.15719216537380376,18.75159811841029,0.03379906585287884,,,,,,,,,,,11602039.604818858,,
AGO,1991-09-01,,279743930.5539998,6e-08,142557192.0805474,,98.9104461669922,,,,63.2656898498535,52.3664321899414,62.5763206481934,4.147343157712869,0.012603510931260331,-0.18973293973202843,0.0,-0.18973293973202843,3.9582657789884332,0.007089993669571637,-0.10334089192693208,0.0,-0.10334089192693208,1.0,,,,-16.62892127472431,0.0,0.6958842562698315,0.2000240737006778,,19.449385208956695,-0.15166617825446593,18.775253825088107,0.18594552148610077,,,,,,,,,,,11879766.006712282,,
AGO,1991-10-01,,211236793.3344627,6e-08,174964523.4300078,,98.927619934082,,,,64.7821197509766,53.0820236206055,64.0873489379883,4.171029635513727,0.023686477800858086,-0.18444550077390875,0.0,-0.18444550077390875,3.971838332712542,0.013572553724108705,-0.09952868758828082,0.0,-0.09952868758828082,1.0,,,,-16.62892127472431,0.0,0.6958842562698315,0.2000240737006778,,19.168490305487364,-0.9081144273485791,18.980093788079554,0.01137593427944239,,,,,,,,,,,14580376.952500649,,
AGO,1991-11-01,,325339224.7759401,5.5e-08,201927557.3207744,,98.9081115722656,,,,63.8844795227051,52.6623916625977,63.1868782043457,4.157076444913051,-0.013953190600675569,-0.1589183463272814,0.0,-0.1589183463272814,3.9639015701009814,-0.00793676261156051,-0.08711443722997636,0.0,-0.08711443722997636,1.0,,,,-16.715932651713942,-0.0870113769896328,0.6088728792801987,0.2038577125514248,1.0,19.60037896448773,-0.25705386895841187,19.123419563918514,0.293845202749754,,,,,,,,,,,16827296.44339787,,
AGO,1991-12-01,,271823409.8188201,6.7e-08,285277972.3415851,,98.8682708740234,,,,60.4434814453125,51.032829284668,59.7593765258789,4.101708737421875,-0.055367707491176255,-0.1494673648697784,0.0,-0.1494673648697784,3.932469137095047,-0.031432433005934346,-0.08481601336900235,0.0,-0.08481601336900235,1.0,,,,-16.518573217555446,0.19735943415849633,0.8062323134386951,0.20732378853317648,1.0,19.420663184812838,-0.31497859811987894,19.46897460444583,0.34682913764635614,,,,,,,,,,,23773164.36179876,,
AGO,1992-01-01,,280240739.8170994,8e-08,141214982.9573587,,98.8665084838867,,,,60.0853805541992,50.8559951782227,59.4042701721191,4.095766559940596,-0.0059421774812786765,-0.10608217660720332,0.0,-0.10608217660720332,3.9289980148217447,-0.003471122273302374,-0.06021375736634793,0.0,-0.06021375736634793,0.0,,,,-16.34123920227253,0.17733401528291637,0.9835663287216114,0.20841669163483023,1.0,19.45115957679114,-0.01003023863170327,18.765793988990005,0.06430935352901912,,,,,,,,,,,11767915.246446557,,
AGO,1992-02-01,,244296110.0487475,9.2e-08,166020924.7788127,,98.8719482421875,,,,60.3993682861328,51.0120811462402,59.7179908752441,4.100978646047214,0.005212086106618052,-0.016257052274641914,0.0,-0.016257052274641914,3.932062489891848,0.003064475070103434,-0.008871943033114782,0.0,-0.008871943033114782,0.0,,,,-16.20147725989737,0.13976194237515926,1.1233282710967707,0.20732220230861456,1.0,19.313891613255304,-0.034486759200355266,18.927624391261233,0.25060537031591323,,,,,,,,,,,13835077.06490106,,
AGO,1992-03-01,,276637979.9166493,1.02e-07,200632782.542811,,98.8766937255859,,,,60.203254699707,50.913818359375,59.5269393920898,4.097726415632514,-0.0032522304147004633,-0.01755420590029466,0.0,-0.01755420590029466,3.9301343672501234,-0.0019281226417247055,-0.009820167231781696,0.0,-0.009820167231781696,0.0,,,,-16.09829302366214,0.10318423623522932,0.5333653267720564,0.08762026022999903,0.0,19.43822027766268,0.4413292424429436,19.11698684258683,0.5028583801006832,,,,,,,,,,,16719398.54523425,,
AGO,1992-04-01,,269543305.7439485,1.43e-07,193156408.6705281,,98.8950500488281,,,,61.6717567443848,51.6308555603027,60.9902687072754,4.1218260748046625,0.024099659172148513,-9.716924834179963e-05,0.0,-9.716924834179963e-05,3.944119469745984,0.013985102495860602,0.0003128001457604057,0.0003128001457604057,0.0,0.0,,,,-15.760421206686503,0.3378718169756372,0.8712371437476936,0.1202496679262109,0.0,19.412239624621073,-0.013655942159772394,19.07901082628553,0.453912159408727,,,,,,,,,,,16096367.389210677,,
